,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Participant,Domain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
72,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,10,Hiring,,,,,,,,,,,,,,,,,,,,,,
73,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,652,Hiring,,,,,,,,,,,,,,,,,,,,,,
74,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,165,Hiring,,,,,,,,,,,,,,,,,,,,,,
75,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,180,Hiring,,,,,,,,,,,,,,,,,,,,,,
76,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,674,Hiring,,,,,,,,,,,,,,,,,,,,,,
77,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,14,Hiring,,,,,,,,,,,,,,,,,,,,,,
78,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,147,Hiring,,,,,,,,,,,,,,,,,,,,,,
79,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,109,Hiring,,,,,,,,,,,,,,,,,,,,,,
80,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,27,Hiring,,,,,,,,,,,,,,,,,,,,,,
81,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,418,Hiring,,,,,,,,,,,,,,,,,,,,,,
82,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,476,Hiring,,,,,,,,,,,,,,,,,,,,,,
83,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,34,Hiring,,,,,,,,,,,,,,,,,,,,,,
84,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,317,Hiring,,,,,,,,,,,,,,,,,,,,,,
85,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,11,Hiring,,,,,,,,,,,,,,,,,,,,,,
86,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,526,Hiring,,,,,,,,,,,,,,,,,,,,,,
87,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,272,Hiring,,,,,,,,,,,,,,,,,,,,,,
88,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,252,Hiring,,,,,,,,,,,,,,,,,,,,,,
89,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,554,Hiring,,,,,,,,,,,,,,,,,,,,,,
90,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,627,Hiring,,,,,,,,,,,,,,,,,,,,,,
91,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,574,Hiring,,,,,,,,,,,,,,,,,,,,,,
